dialog_key,context,response
ECM-062344,姐佩服,哈哈！厉害吗？一晚绣丐多啦，姐真淑女
LCCC-054926,"小白东西好齐全呀。
你也入个坑，我就可以两边拿了
不给你呀。
祝你在遥远的山区过个愉快的周二",吃饱喝好。
ECM-006189,猫猫版的泰坦尼克号。。,唉…那个人赶紧出现吧…
LCCC-045661,哥咋了还在学校么,不在了
ECM-091460,被我给闹醒了吗,声音还好听吧呵呵
LCCC-030240,"平凡踏实才是真！年轻人醒醒吧！！！
不怕我有手气",呸叽！
LCCC-047777,向我的美丽臣服吧凡人,迷之自信说的是不是就是你
LCCC-013673,"所以我觉得如果你同时兼顾好了友情跟爱情只能说明你没有尽全力去对待两者中的任何一个别忘想都存在不可能的
我恨一对一的占有欲呜呜活得自由一点就会觉得自己是孤单到最后的那个",自己一个人也很好哇不用在所谓对的时间做所谓对的事情我一个人想干嘛就干嘛祝他跟他的占有欲孤独终老吧我自己也可以好好的
LCCC-087657,"我轩和俊一相爱相杀
人心难测亚轩对别人再好人家不领情又怎样不就是出道嘛！有啥的
本来就没啥。。。
瞧不起人的我从来不喜欢",我感觉你在带节奏一会儿出道一会儿看不起的看起来很怪
LCCC-088513,有木有看到我的影子…？,是第三部吗
LCCC-064856,"记得做好防晒
我忘带帽子咯
分分钟买一个，不存在，
买啦买啦",爆照爆照
LCCC-079055,"每一次和你们台连线我都好紧张，好正的感觉。。。
我们正还是你正啊？",当然是你们正，我都不好意思嗨
LCCC-045898,"又被你发现了
哎你是不是要出国了啊--
你怎么才发现啊
啊哈什么时候啊
大一开学的时候咯还有半年~
那你不是还要高考啊...
不考我12月就开始申请学校了下个月就都出结果啦！
噢噢你好棒棒！【真是违心...】
你就别讽刺我了
没有啦我这么舍！不！得！你！",太！假！了！拿！出！诚！意！来！
LCCC-017130,我这边阴天,粗太阳好开心
LCCC-091854,"让你男朋友给你买个积家吧.
积家是啥啊
换个好点的手表呗
哎呀我带表就是个饰品不讲究哈哈",以后别买了哦很烂
LCCC-066528,你怎么又分手了,恋爱吗宝贝
ECM-036598,鱼包鲍看上去不像是搞文字的坏银哈，有点耿直倔强的劲儿。,鲍大律师，写状纸、辩护词是一把好手。
LCCC-044493,"东北坏人的比例不是一般的高
这句话说的准确。东北并不是全都是坏人，但比例高",厉害了，东北一共多少人呢，坏人一共又是多少，还有其他省的也跟我说下，我对比一下到底有多高
LCCC-052210,我过得不好那么你呢,我也不好真的总是晚睡黑眼圈
LCCC-090116,"活捉一只小可爱
是不是你最爱的
哟西！好中意的小可爱
我不睡你不睡
好困",不见
KDCONV-000557,"知道《生如夏花》这部专辑吗？
当然知道呀，是一部收录了11首歌曲的专辑。
而此专辑一出更是获得了不小的轰动，获得了第11届中国歌曲排行榜年度最佳专辑奖。
嗯，更是获得了第04届全球华语歌曲排行榜年度最佳专辑奖。",而作为此专辑的歌手朴树更是名声大震。
ECM-056414,为什么不会？,"里面的服务没次序,东西上得慢,不好吃,"
LCCC-102151,"我不喝咖啡的。。。
那就睡觉吧
刚刚课间睡醒了，，一个奇怪的女生进来讲了一个狗血的故事然后就走了，，不明所以。。。
我只能呵呵。。。。
你去九把刀吗。。。
去。。
真的吗！！！我也去耶！！！",好吧。。票还没到我手里呢
LCCC-031969,请问姗，牛仔上衣加长裙那套你搭配的鞋子是什么牌子,佛罗伦萨本地的手工坊买的，其他地方没有的牌子。
LCCC-021541,"去我家免费帮你冲氮气
话说你家那家到底在哪里哟~
湖光路倍耐力，报上我名字就好
会不会被打",不好说，看情况吧
KDCONV-000110,"这首歌时长是多长时间呢？
时长是2分27秒。
你还记得是哪年发行的吗？
是09年发行的。这首歌的原唱歌手是谁呢？
原唱是MyLittleAirport。
给这首歌编曲的是谁呢？
编曲人是林阿p，阿贤，阿科。
这首歌是哪个专辑里面的歌？
这首歌出自介乎法国与旺角的诗意专辑。
这首歌是什么风格的呢？",是属于流行音乐。这首歌的作词人是谁呢？
ECM-008193,女的卸了妆搞不好还不如男的,哈哈…
KDCONV-002784,"尚大·沃联褔农园你去过吗？
去过啊，挺不错的。
这个景点能玩多久呢？
能玩2小时-3小时。
这个景点的地址在哪呢？
地址在北京市房山区韩村河镇龙门口村龙门口水库西岸，这个景点的电话是多少呢？
电话是400-7788-111。
这个景点什么时候开放呢？",开放时间是8:00-17:00。
ECM-061352,又死宁波来过,姐姐我一直在宁波
KDCONV-001592,你听过《忽然之间》吗？,哦，应该是由莫文蔚演唱的，是在哪张专辑里的歌曲？
LCCC-055985,"女人，你咋了
没穿秋裤，有点冷
哈哈哈，我也没穿，可是南京热起来了好暖和啊
我这里还冷，手都是冷的
多穿点啊，冷怎么不穿秋裤别为了瘦
没错，为了显腿细",没用，反正我没穿，腿还是粗
LCCC-100421,"没吃东西吗，漂亮姐姐
吃了，消化了
好吧，我晕车也没吃东西",晕车什么的最惨了
LCCC-015649,回复仔仔不敢当。,那我当吧！
ECM-096432,记得全体出洞而出看《色戒》,哈哈没错，删节版，一人捧一包瓜子看得津津有味
LCCC-013653,什么情况？我不在的时候发生了神马,没有热水了
LCCC-107618,明天来看我。。。,哈哈有没有吃汤圆？
LCCC-097524,"我想知道第一张图那个红红的像蛋发糕的是什么好吃的
就是黑发糕",哈哈哈哈哈哈我猜对了
LCCC-066359,"哈哈，新年快乐哈！你也好好学习哟
大过年滴，，，不学
还是上学好哇，哈哈哈，好羡慕好嫉妒
那你老回来读个研不就得了！
学习不好啊，考不上",人好哈哈
LCCC-034115,下个月上，刚刚开始不用拐杖，在学习走路,下个月几时啊
LCCC-050484,"天气太热没胃口吃晚饭结果十点半的时候饿了于是刷完牙的我去少了面还加了个蛋于是我现在还没有走进卧室的勇气
这样吗！那你在客厅干嘛！
站着消化
那你站墙顺便练下挺胸收腹
寂寞如雪的吃撑的夜晚
叫你别吃这么多",早点休息吧我忍不住要睡觉了！
KDCONV-001299,"你好，你看过《海街日记》吗？
看过，是一部日本电影。
属于青春家庭类型的片了。看看挺好的。
电影是由东宝国际发行的，年轻人看一看挺受教育的。
2015年06月13日上映的，你去看了吗？
是的，我去了，主演广濑铃，和夏帆演的都很青春。
这部电影还获得了第68届戛纳电影节金棕榈奖（提名）呢！
那票房收入一定很高了？",这个具体我就不知道了。
ECM-090071,有没有电子版的？,有，将在一个月后推出正式版并放在官网下载。请关注我们的最新消息
KDCONV-001340,日月岛广场在什么地方啊？,地址在北京市密云区古北口镇司马台村古北水镇景区卧龙堡民俗文化区内，有电话吗？
LCCC-062246,"一起存钱去旅行
总舍不得请假去旅游，要扣工资的，我的眼里只有钱",心疼就没发过完整工资的自己
LCCC-076037,小伙子，你今天很闲嘛！,你来看看我们办公室一共几个人我发东西都找不到人
LCCC-108662,是哪个软件把我们羊搞成这样,谁是卧底！
LCCC-073520,"之子早安
姐姐周末愉快",明天见
KDCONV-002062,"你知道密云人间花海薰衣草庄园吗？
知道呀，位于北京市密云区车道峪村，占地面积1800余亩，核心区域300亩。
哦，都啥时候开放啊？
9:00-17:00。
能玩多久呢？
4小时-5小时吧。
附近还有什么景点吗？
有，仙居谷就在附近。",我知道这里，它位于北京市密云县太师屯镇令公村。
LCCC-060918,"喝饮料的不是你吧？
不是啊！
我以为是我瞎了
或者我整容了
你要整容，我就得重新投胎了",好的，那我这就去整容
LCCC-077191,"你头发这么长了~？~？~？~？~
对呀对呀，",我也想说：你头发这么长了
ECM-106699,天啊，这么多啊。会长胖呀,可以可以。。可惜我解答不到，呵呵
LCCC-004465,"你们真是挺无聊的~
嘻嘻,你又不是不知道
无聊就互相惹啊？？",不然怎么样
LCCC-100553,"哈哈哈哈，妹子人好好，遇到都是缘分！
猿粪啊！快发片！我等你！",要的！！
LCCC-051042,"你生气的样子也漂亮哈哈哈，心情要好哦
哈哈莫名我就笑了",善解人意的我
LCCC-086862,"哈哈我也是很晚才睡呢我现在精力还好充沛滴哈哈
不能和你比。你还年轻呢！
汗我还年轻阿哈哈
是啊。我总比你大啊。
但是都差不多啊
九几的！
3啊",好吧。我睡了。安。。。
ECM-000575,我哥哥的毛毛撒,哦您家关系复杂
LCCC-041777,"去西安了？
是呀～",对了，什么时候去杭州呢
LCCC-094964,开心点给你挣大钱去了,你也不陪我玩。
ECM-057911,他一定特后悔认识我，或者特后悔有我家钥匙,王晶哥一定很庆幸有这么一个哥哥吧
KDCONV-001067,"听过啊，她是香港的歌手。
她是哪年出生的呢？
她是1983年出生的。
他有哪些兴趣呢？
他兴趣是唱歌、填词、弹琴、旅行。
她喜欢什么颜色呢？
她喜欢湖水绿，你知道她是哪个学校毕业的吗？
这个我不知道。
她身高挺高的吧？
是啊，身高有167cm。",她平时喜欢吃哪些食物？
LCCC-062648,"爱不爱我？
不爱",好……
LCCC-030582,"起来吃东西啦
嗝~
你是不是藏在床上偷吃好吃的了",睡一会儿就下去吃一会儿然后回来接着睡
LCCC-054938,可聊天可吹牛.可扯淡.,真的这么牛，你家人知道吗
LCCC-039161,"我也用生日做密码，0817
0818
真的吗？！我也是！
哇好巧！
我也撸猫！",哇！！
LCCC-050397,居然在这里偷偷码字,居然码了这么多字
LCCC-052504,"我要向你表白！！up主
好的",大大！！我们一起去群里玩吧
LCCC-081155,"你好，我想问问这是广富林郊野公园里面的油菜花吗？
是的，不多",谢谢，这一片看上去已经开的很好啦
LCCC-014407,祝你吃好喝好身体棒,最近总是忘带水杯
LCCC-108088,什么时候合唱一次啊都没找到人唱！,。。。上次跟你唱过啊。。。你说没练过。。。
LCCC-087540,感冒不能吃我爱吃的鱼了看起来好好吃的样子,那就养着吧。看看也是好的~
LCCC-046900,"看到你们的
哈哈哈哈真的吗
肯定啊你们今天去磁器口了
嗯咯",关键你们两个还不高
KDCONV-000417,"是约翰·柯恩。
哦，我对他不熟，但我对这个导演克里斯·雷诺德，皮埃尔·科芬有一点了解。
哈哈，看来你很喜欢他了，知道这个电影的票房怎么样吗？
这个就不太清楚了，你知道发行公司是哪里吗？
是环球影片公司，你听说过这个公司吗？
当然知道了，它的总部在美国，是一名很有资历的公司。
具体地址是哪里呢？
在加利福尼亚环球城广场大街100号，他是哪年成立的呢？
成立时间为1912年06月08日，它就是曾经的华纳环球国际公司。
哦，原来是它啊，那我就更知道了，它主要是做影片投资，和制作出品的。",没错，那创始人是谁啊？
KDCONV-000237,"你去过棋盘山风景区吗？
相传每年四月初八，仙人对弈，落子为石，棋盘为山，故称棋盘山。",这里可以游玩几个小时呢？
LCCC-075220,"今天怎么过啊？
不咋过哪儿都人多和狗狗窝家里",秒回啊！
KDCONV-001965,"听过呀，她是中国长沙人。
对呀，他是一个演员吗？
对呀，除了演员她同时还是制作人！
她在中国很有名气吗？
她是一位资深的演员，有好多成就呢！
都有什么成就啊，你是指她获得的奖项吗？
对呀，她得过两届台湾电影金马奖，两届台湾电视金钟奖，第16届亚太影展等三个奖项的最佳女主角奖。
是的，她还获得过第29届大众电影百花奖最佳女配角，第30届卡罗维发利国际电影节最佳女主角。
她是如此优秀，你有看过她演的作品吗？
有啊，比如三朵花，喜宴，大明宫词，庭院深深，橘子红了，这些你看过吗？",我看过大明宫词这部历史古装剧。
ECM-029037,我们是好朋友！,和我家皮蛋是同类？
ECM-109276,大飞装扮成啥样了很好奇,扮成了空气准备随时开溜
LCCC-049410,"闭嘴是你预约太晚了
我呸是你无情无义！",对方并不反驳并且给加班狗一记暴击
ECM-042524,也只有喇叭了！！！,我们中国的意思是，你们不让我打进世界杯，我就烦死你们！
LCCC-008362,嘻嘻嘻她会拍照,你是真的瘦啊
LCCC-086024,"好久不见，听说你只文明观球了？
对啊",专一的好男人
LCCC-108328,"为什么为什么转眼变成冻
恋爱中的恋人阿小心爱是活的
所以才动人！所以她也是会凋谢的
原来爱是变数的怎么没人教我
美好北极的事过变附和
完了吧
是的哈哈下一首你会什么
哈哈哈你说
飘的你还会么
会啊",会什么啊
ECM-099675,我敢说，这是媒体逼出来的。,我敢说，这是人民逼出来的。
KDCONV-001670,"你好，你了解满这首歌吗，听过没有啊？
嗯，了解，我很喜欢听的，你有什么问题吗？
请问这首歌的歌曲时长是多长时间啊？
这首歌的歌曲时长是03:31。
哦，请问这首歌的发行时间是什么时候啊？",发行时间是2015-10-27。
ECM-080375,好像有点没营养,哈哈是的没营养但很受用
LCCC-062182,"孩子，开心点哈！
恩恩，我很开心啊，嘻嘻
真的吗？
当然，还有什么值得我难过的
最好是这样",要不你觉得会是怎样
LCCC-085345,你怎么跑武汉来了？？？在武汉吗？,对啊在呢
LCCC-064290,"不痛我不怕打针的，但是前天打针那个医生推针太快，现在手臂肌肉都还痛，今天回达州打就不痛，但是却出现想吐的感觉后面还要打16针
16针。。好痛苦",你好久肥来？
KDCONV-002569,"我知道凯特·玛拉，看过她演的电影！
她有什么代表作啊？
除了断背山还有纸牌屋和超验骇客！
啊！这个女演员三十多岁了吧？
恩，她1983年2月27日出生的，但是保养的很好，多漂亮啊！
是啊！演技也很好，她是哪国人啊？
美国人，出生在纽约！
哦！断背山里她演的就特别好，你抽空看看吧！
恩，这个片子也有点老了吧？
是啊2004年6月14日拍摄的，2005年12月9日上映的，都十四年了！",这么久了啊！
KDCONV-002387,"指环王：双塔奇兵这部电影你看过吗？
看过啊，很精彩的一部影片。",还记得是什么时候上映的吗？
ECM-050302,为什么许多人出去又回来了，还赶也赶不走呢？,要么国内有路，要么国外没路。
LCCC-033367,艾。小脸就是好。什么发型都好看。,我脸比你大
LCCC-062408,"加油
。。。。结束了",成功了吧
LCCC-103735,"听老大说你暑假过来哦…
欢迎不？",那是必须的！
LCCC-082176,"。。。桥下是马路还是河阿？！
马路
啊啊啊啊！桥是天桥还是一般的桥阿？",苏州河上的桥啦
LCCC-103967,"转码之后不清楚了
自动转码的吧",对昂
LCCC-094298,谢谢亲爱的，真的爱你！,我们大家都很想你呢！
ECM-085835,看那么黑就知道是谁的啦！,主要是有人在旁边有对比
ECM-097574,你买了啊！我刚在网上看到,哈哈哈眼光一致
LCCC-081274,"不要逗我笑你的状态待到什么时候都一样
你站在什么立场说我
有电脑的日子。。以后不要去通宵啊！
你买手提了？",没有啊。。我说你啊
LCCC-071356,"恩下好大雨！我也没伞，好可怜！
啊……西安终于下雨了，你好可怜
不是啊我说的是北京。我这几天来了，办签证呢。嘿",你终于要走啦……哈哈哈
LCCC-007949,"男生多久洗一次袜子
我是两三天一次，别人就不知道了
不会臭么我的天",换着穿的好吧
LCCC-047556,"来一星期啦再一星期不到要回去了
跟学校去的？
自由行〜
为什么锕锕锕锕",想玩儿就过来玩儿啦〜
ECM-059550,好啦好啦原谅我,原谅原谅~~胖胖最可爱鸟
LCCC-005721,你好，我是寒士！,我是大庇
LCCC-095477,"亲，我和你一样，一直在等那个对的人，有时候感情需要等待，需要沉淀，但是，感情有时候又需要你努力去争取，我们不知道那个合适的人何时出现，但是我们能做的就是让自己每一天都过的精彩，我的已经出现了，你的还会远吗？加油！
我相信应该也不远了吧，好好生活好好爱，加油
我分手了...
不就是个男人嘛，再找，找个比他好百倍千倍的，好好过。
嗯...",咱再找，不担心
LCCC-064598,"最近几天晚上好像都下雨呢·····
对〇，刚出门就下小雨",嗯嗯，还好不是很大。。。
KDCONV-001433,"你好，听过《后青春期的诗》吗？
听过啊，这张专辑获得MusicRadio音乐之声中国TOP排行榜港台年度最佳唱片。
不止呢，还有台湾地区G-music和五大唱片年销量双料冠军。你喜欢这首歌吗？
很喜欢的，它是我喜欢的摇滚音乐，这张专辑里有几首歌啊？
共12个，它是哪年发行的呢？
2008年10月23日，听说是他们自已担当制作人的是吗？
是的，看不出来吧。
哈哈，你听过他们的同名专辑吗？
听过啊，我还看过它们的MV呢，是黄中平导演的，里面的主演是谁来的？",是Selina，陈信宏。
LCCC-108069,"你竟然还没睡！
你竟然这么晚睡！",熬夜对身体不好所以我直接通了个宵
ECM-042964,张宝全做房地产就会卖概念，后期物业管理一个比一个差！,导演圈里最好的地产商，开发商中最好的导演。
LCCC-019616,"因为你上辈子是折翼的天使，你的是非主流剧场
非主流是小悲伤好吗
你们都素！！
托你的福",我是老大哈哈
LCCC-013598,"我那天说绿茶你还给我装说不好吃，这不就去吃了么，吴小装！
这不是绿茶好不好我本来就不爱吃这些洋玩意~",这不是面包诱惑吗
LCCC-073335,要不老佛爷私房菜？,"可以,这个提议很不错"
LCCC-069668,祝你今年脱单！！,借您吉言，找个差不多的。
ECM-031461,总比双向全额收费要好嘛，一步一步来，我相信社会总是不断前进的。,理想是丰满的，现实是骨感的。希望我们有生之年还能看到吧
LCCC-044977,"我今下午去看
可别哭啊",为什么要哭
LCCC-100348,猪啊，快想想中午吃神马,中午准备出去。你去不？一起嘛
LCCC-085022,"你们都是无聊到一定境界了。。。
对啊。。。
吐槽政经老师吧
对对对实在是讲的太好了。。。
那估计是你们吃饭慢了才坐到第一排的吧。。。
主要原因是学院查课，大家都来上课了。。。",结果还是去晚了
KDCONV-002947,"这个不清楚。
这部电影是巩俐葛优主演的。都是影帝影后啊！
所以也拿下了很多国际大奖。
你知道的有哪些？
第47届戛纳国际电影节人——道精神奖、评审团大奖、最佳男演员奖
是的还有第48届英国电影学院奖最佳外语片奖。
这是一部好电影啊，故事情节好很好，演员好很棒。
是的，这个剧本的原著是余华。也得多谢人家写出这么好的本子。
他也是这个电影的编剧
那正好适。难怪会拍的这么好了。",片长133分钟，看的很尽兴。
ECM-051761,姑娘总结的非常好！给你加句横批；此人只应天上有,哈哈这句是你总结出来得丫。我只是借来用用嘛！
KDCONV-002189,"你好，去过白乙化烈士纪念馆吗？
纪念馆门前“白乙化烈士纪念馆”8个大字是白乙化生前战友、原北京市市长焦若愚所题。馆内分为四个展厅，其中三个图片展厅有图片43件，一个影象展厅播放宣传片。
这里可以玩多长时间啊？",这个地方能游玩1小时呢，这个景点的电话你有吗？
ECM-038881,做乜唔关你事,做乜关我事丫!?边个可以同我讲下发生咩事丫?
KDCONV-000641,"1137万5954观影人次，这个电影有没有得奖啊？
这个不太清楚，你还记得这个电影的剧情吗？
主要讲述了没有钱、没有学历、没有背景的税务律师宋佑硕经历的改变其人生的五次公审。
那导演是谁啊？
是杨宇锡。
他呀，编剧也是他。
是的，他选的演员很适合这部戏，像宋康昊、郭道元。
还有任时完的演出也很精彩。
他可是有很多奖项的演员呢。
是有，有2015年第51届韩国百想艺术大赏TV部门最佳新人男演员奖，2014年第51届韩国电影大钟奖人气奖。",还有2014年第35届韩国青龙电影奖人气奖、2014年第33届MBC演技大赏男子新人赏……
KDCONV-000789,"知道呀，是英国著名的摇滚乐队。
确实挺有名，唱片销量都高达过2亿。
所以他们名列最成功的摇滚乐队之一。
那他们是哪年成立的？
1967年。
哇，年代好久的乐队呀，那他们最先开始是怎么出名的呀？
他们最初以迷幻与太空摇滚音乐赢得知名度，而后逐渐发展为前卫摇滚音乐。
啊，怪不得他们能成功，在那个年代思想就那么的前卫。
对呀，他们迷幻摇滚的音乐风格受到很多人喜欢。
那关于他们的作品都有哪些？",我知道他们两个代表作《Time》与《Wishyouwerehere》。
KDCONV-000539,"你知道劳拉·邓恩吗？
知道啊，他又叫做劳拉·德恩。
他是我很喜欢的演员之一，你知道他是哪里人吗？
他是美国人，你知道他的生日是哪天吗？
生日是1967年02月10日。
原来是水瓶座的啊，你觉得他的电影怎么样啊？
不错啊，他曾获得过奥斯卡金像奖提名2次，艾美奖提名4次、金球奖获奖4次。",哦，这样看他的电影很值得一看啊，你看过《侏罗纪公园》吗，这个电影就很好看。
KDCONV-001365,"知道《宝贝》这首歌吗？
知道，是一首不错的流行歌曲。
什么时候发行的呢？
2014年12月12日。
这首歌是最近几年里比较好听的了。",是啊，易烊千玺还演唱过呢。
KDCONV-002923,"你这么喜欢听歌，那你有喜欢的乐队吗？
有呀，墨尔本的tamaswells。
澳大利亚的乐队呀？
是的，很出名的。
那这支乐队是什么时候成立的？",2000年初成立的。
LCCC-040215,突然花现我们不但用一样的发夹还穿情侣装，不忍直视非主流的我们了,你还敢看我的眼睛嘛。。。
LCCC-089118,你这种不是单身的人，不该说,这是事实啊
LCCC-003450,补觉是明智的，青岛太冷了，,我是感冒了刚才从九点睡睡到12点现在睡不着了你要预防感冒阿！！！
LCCC-024048,"我没读大专，我是明智的选择。我哥哥姐姐大专毕业。到现在呢？还没有我一个高中生找钱！！呵呵哒，说文化教养的人。我不比读了大学的人差，在于人。不在于多读书！
从你发的这几句乱七八糟用标点的话，就看出来了你文化素养真的不高，高中？我看小学标点用的都比你好",说的没毛病，看得真难受这段话
LCCC-070771,"我已经在计划进去怎么抄作业了。
好好计划啊亲==
希望我进去能补得完。==
不然你放假都在干嘛
吃饭睡觉玩手机。
吃饭睡觉打豆豆
可以打弟弟，没有打豆豆。
我也很想打弟弟！",坏姐姐。
LCCC-033458,"我这里离烟台市区开车也挺近的
喔！现在去蓬莱！晚上栖霞摘苹果去！
你可能不知道我是谁，你前几天在青岛打网球，我去看你们比赛
喔！你好
来莱阳我请你吃梨，但是就到10。1那天，我2号我在自驾游去
呵呵！去的话告诉你",跟旅行社去的
LCCC-086757,"你真的是火葬场的火化工吗？？？
你猜
不知道才问你的嘛
不告诉你",不可以
LCCC-104424,"加油钻石等着你
哪天带我打匹配排位不敢邀你，怕坑你
我在线就可以邀请我坑哭你",钻石还谦虚
LCCC-024023,跟采儿姐互动太可爱啦,这么有意思的综艺要多看几次
KDCONV-002390,"慕慕，听说你前一阵考察过雁栖湖？
嗯，是有这么回事。我和我妹去的，这不是天热得要命，我俩去那凉快凉快。
咋样啊？好不好玩？人多不？
现在那儿已经被开发成一个水上游乐园，有划船、快艇、水上滑索等等。人也不少，但是我俩玩得挺开心。
我现在到哪儿就打怵人多，不过要是好玩的话我也想去一趟，避避暑也是极好的。
嗯，水上滑索还挺刺激的。门票是45块，没事儿去玩玩真挺好，人多也热闹。
好，我听你的。我记着周围有个叫蓝天牧场风景区的地方吧，那儿你去了没？
我没去，不过我也听说过那。好像是集旅游、观光、度假为一体的综合游览区。观光采摘啥都有。还能骑马呢。",我喜欢那样的地方，摘点新鲜果子，又好玩还能教孩子。
ECM-108506,塞满了更省电。,我妈需要四门冰箱
ECM-052016,那些肉都给你...,哈哈我没那么瘦呀。。给我太夸张了
KDCONV-002656,"你记错了，是2017年正式发行的，你知道它的发行地是哪啊？
由中国内地，中国台湾两地发行的。
那专辑的制作人是哪位啊？
制作人是：秦昊，张小厚，刘胡轶，胡洋，这张专辑得过奖吗？
这个我不清楚，不过这首民谣风格的音乐，很适合大众的胃口。
那倒是，我知道主唱是好妹妹乐队，你了解这个组合吗？
好妹妹乐队，由秦昊、张小厚组成。
哦，我知道乐队曾获过2014年，获得“MusicRadio中国TOP排行榜”年度最佳乐团。
哦，那他们的代表作品都有哪些呢？
有《春生》，《送你一朵山茶花》……",还真听过，想起来了，挺好听的。
LCCC-074570,啧啧啧寂寞的男人,呀。。。这不是欢喜他嘛
KDCONV-000105,"还行，不算贵，才20元。
还真挺便宜的，那么这个景点周边可否有其他景点呢？
老多了，比如秀峰寺，醇亲王墓等。
是吗，醇亲王墓在什么位置啊？
地址在北京市海淀区北安河乡阳台山景区内，这里能玩多久呢？
不长，也就0.2小时，知道这里都什么时候开放吗？
景区早上8:00开门，晚上不关门。
那门票多少钱？
无需门票，包含在阳台山景区门票内。
OK，我知道了，谢谢！",不用客气！
LCCC-038962,午饭不吃啦,别啊，午饭不吃晚饭吃的跟多
LCCC-038570,"呵呵回家也也回了早点睡吧
哈哈哈我不睡那么早
我明天休息尽量早来
哈哈哈可能我早上不在
没事小妖在
好的
真的别回啦回去回吧
哈哈哈好的你睡吧别回我的了明天你起来再回
好的不回了啊
恩你别回我了现在睡去吧",那你现在先别回我啦晚上再回啊啊啊
KDCONV-001260,"好地方啊！牛津大学特别有名啊！
是，但他是在剑桥的塞尔温学院英语专业毕业的！
那也挺厉害了！他有什么代表作不？
JohnDiamond、加勒比海盗3：世界尽头PiratesoftheCaribbean:AtWorld'sEnd、剑桥风云也挺多呢！
我看过加勒比海盗3，他是不是个子不太高啊？
是1米68！不是太高！
但是演技很不错的！
恩，在1981年14岁的时候就参演了莎士比亚的喜剧《仲夏夜之梦》，相当于童星出道了！
是啊，我得查查另外几个作品看看了！
行，看看吧，都挺不错的！",好的！
LCCC-007580,"逗想让我再次来袭啊你
别上手。
那你就乖乖哒",好说
KDCONV-000728,"“水与争锋”水上乐园也挺好玩的，你去过吗？
没去过呀，但我知道他家的门票是60元，你知道这里都有什么好玩的吗？
园内每天还会分时间段举办个人冲关赛、泼水大战、水枪大战、水中热舞表演以及比基尼挑战赛等各种活动。
啊，我最喜欢这样的游戏啦，他家都是什么时间开放的呢？
不好意思，这个我不是很清楚，你别去太早了就行。
好吧，那这里可以玩多久啊？
能玩3小时-4小时呢，你要他们的地址吗？
地址知道，是北京市昌平区小汤山英达生态园内，他的周边还有什么景点呢，介绍一下呗？
有小汤山镇，百丰农场，木林森采摘园……
啊，看来还有不少景点呢，有时间我得去看看去，谢谢你！",不客气！
LCCC-077144,"你做梦了？
对啊！",啥梦啊师傅？
LCCC-096561,一路顺风。,快到家啦
KDCONV-001349,"他还担任过威尼斯国际电影节主竞赛单元评委。
那他的首部电影是哪个啊？
是1991年导演首部作品《双城故事》。
我听说他还开过公司呢？
1992年与曾志伟等成立电影人制作公司（UFO）。
那就对了，《甜蜜蜜》就是这个公司制作的电影。
是的，这个电影还获得了香港电影金像奖中赢得九项大奖。
了不起，那你比较喜欢他的哪部电影啊？
我喜欢看《投名状》。
这个电影是由李连杰，刘德华，金城武，徐静蕾主演的，是哪年上映的啊？",2007年12月12日啊，你知道票房是多少吗？
LCCC-005565,这个花也很美哎！不知名的花太多了，跟着你懂很多！微微早上好！,有你们的品读是微的动力一起涨半半
KDCONV-000789,"知道《平克·弗洛伊德》这个乐队吗？
知道呀，是英国著名的摇滚乐队。
确实挺有名，唱片销量都高达过2亿。
所以他们名列最成功的摇滚乐队之一。
那他们是哪年成立的？
1967年。
哇，年代好久的乐队呀，那他们最先开始是怎么出名的呀？",他们最初以迷幻与太空摇滚音乐赢得知名度，而后逐渐发展为前卫摇滚音乐。
LCCC-035213,"穿衣服比脱衣服累
有点讨厌冬天，因为穿很多很累很不自由。",爱夏天!肥肉可以出来见见光!
KDCONV-001032,"它是在2009-7月发行的，你知道专辑里有几首歌吗？
里面收录了14首，那这张专辑是哪个地区发行的呢？
是大陆发行的，你知道发行的唱片公司是哪家吗？
唱片公司是大国文化。
哦，那专辑的制作人是谁呢？
是汪峰，贾轶男两个人。
贾轶男也是个制作人，编曲人，职业乐手。
是的，他曾担任过汪峰、那英多张专辑的制作人。
啊，那他是哪里毕业的，是学音乐的吗？
他是北京迷笛音乐学校毕业的，那他本人得过什么奖呢？",这个还真问住我了。哈哈。
LCCC-048740,我觉得时间过得都几快,快乐不知时日过
LCCC-102690,"你好，可以帮忙清下灰么？
可以
是要我拿过去你那儿清还是你来我们这？我这也好几个同学想麻烦你一下~
都可以
晚上可以么？我们在d2'612
可以
晚上在宿舍等你哈
能不能来不一定，最好来我们维修点，谢谢",摁好的，你们维修点是在哪里？
LCCC-095668,"乔小刀先生被楠哥玩在骨掌中。
你说的很严重！",难道你就没有扯他的脸皮吗？
LCCC-072598,"我真的很绝望啊，穿衣服要热死人啊
出门还是穿上啊
路上小姑娘少，都是大汉。没事",你就哎
LCCC-043898,"去学生会面试啦？
是啊。去丢脸了
我宿舍有两个同学也去面试了，说等了四个小时，面试一分钟就结束了~
我也一样啊。
我明天头两节不用上哈~",我一上午都不用呢
LCCC-020961,"你也有妹妹啊
恩。是滴",我有哥哥我是妹妹嘿嘿
LCCC-051027,"我也不出门，先备着便宜
好吧～～我也去买一个",情侣一下
LCCC-028372,狗不知道饱饿，别让他撑着了。,我家肉包不是哦，它饱的时候，喂它也不吃。
